simulation,portfolio_group,cap_segment,portfolio_size,weighting,final_wealth
1,sim1_small_10_equal,small,10,equal,2.739755613308228
1,sim1_small_10_market_cap,small,10,market_cap,8.57152274107094
1,sim1_small_10_risk_parity,small,10,risk_parity,2.929977492156777
1,sim1_small_50_equal,small,50,equal,81.18800665985616
1,sim1_small_50_market_cap,small,50,market_cap,68.1599258690085
1,sim1_small_50_risk_parity,small,50,risk_parity,9.480233579489898
1,sim1_small_100_equal,small,100,equal,23.83374383403057
1,sim1_small_100_market_cap,small,100,market_cap,11.750691608145605
1,sim1_small_100_risk_parity,small,100,risk_parity,23.43872538444376
1,sim1_mid_10_equal,mid,10,equal,7.299392941387648
1,sim1_mid_10_market_cap,mid,10,market_cap,49.584089795940514
1,sim1_mid_10_risk_parity,mid,10,risk_parity,21.67374255818787
1,sim1_mid_50_equal,mid,50,equal,21.12583176296654
1,sim1_mid_50_market_cap,mid,50,market_cap,22.408883026678502
1,sim1_mid_50_risk_parity,mid,50,risk_parity,20.27812984740953
1,sim1_mid_100_equal,mid,100,equal,8.532190967641734
1,sim1_mid_100_market_cap,mid,100,market_cap,19.44762809650254
1,sim1_mid_100_risk_parity,mid,100,risk_parity,22.01271178544388
1,sim1_large_10_equal,large,10,equal,96.13192581235052
1,sim1_large_10_market_cap,large,10,market_cap,13.370165286027675
1,sim1_large_10_risk_parity,large,10,risk_parity,34.28820359257429
1,sim1_large_50_equal,large,50,equal,23.923773648670714
1,sim1_large_50_market_cap,large,50,market_cap,7.911601491564238
1,sim1_large_50_risk_parity,large,50,risk_parity,59.45441544441077
1,sim1_large_100_equal,large,100,equal,45.07727549477187
1,sim1_large_100_market_cap,large,100,market_cap,13.699151458468453
1,sim1_large_100_risk_parity,large,100,risk_parity,55.17972874429813
2,sim2_small_10_equal,small,10,equal,4.736019489967884
2,sim2_small_10_market_cap,small,10,market_cap,90.74407683788769
2,sim2_small_10_risk_parity,small,10,risk_parity,211.90771344761768
2,sim2_small_50_equal,small,50,equal,18.478257535563117
2,sim2_small_50_market_cap,small,50,market_cap,17.464132437789686
2,sim2_small_50_risk_parity,small,50,risk_parity,52.38548724253234
2,sim2_small_100_equal,small,100,equal,29.230995638982897
2,sim2_small_100_market_cap,small,100,market_cap,20.275515517802592
2,sim2_small_100_risk_parity,small,100,risk_parity,38.10610617848266
2,sim2_mid_10_equal,mid,10,equal,9.413782674906603
2,sim2_mid_10_market_cap,mid,10,market_cap,17.82422809531382
2,sim2_mid_10_risk_parity,mid,10,risk_parity,48.67785775863223
2,sim2_mid_50_equal,mid,50,equal,18.19588290747611
2,sim2_mid_50_market_cap,mid,50,market_cap,25.49230286581198
2,sim2_mid_50_risk_parity,mid,50,risk_parity,28.579802205723905
2,sim2_mid_100_equal,mid,100,equal,17.098717705339208
2,sim2_mid_100_market_cap,mid,100,market_cap,17.978016208467782
2,sim2_mid_100_risk_parity,mid,100,risk_parity,32.59971054159243
2,sim2_large_10_equal,large,10,equal,27.962535884915248
2,sim2_large_10_market_cap,large,10,market_cap,33.459778996863115
2,sim2_large_10_risk_parity,large,10,risk_parity,29.1020372495253
2,sim2_large_50_equal,large,50,equal,50.04692726263384
2,sim2_large_50_market_cap,large,50,market_cap,23.067438253695787
2,sim2_large_50_risk_parity,large,50,risk_parity,38.635247919929974
2,sim2_large_100_equal,large,100,equal,38.57574811656588
2,sim2_large_100_market_cap,large,100,market_cap,43.45855154343207
2,sim2_large_100_risk_parity,large,100,risk_parity,34.77610932409107
3,sim3_small_10_equal,small,10,equal,4.442016724107676
3,sim3_small_10_market_cap,small,10,market_cap,1.641926529825004
3,sim3_small_10_risk_parity,small,10,risk_parity,21.40495227662622
3,sim3_small_50_equal,small,50,equal,7.064079688901675
3,sim3_small_50_market_cap,small,50,market_cap,20.367458106656198
3,sim3_small_50_risk_parity,small,50,risk_parity,103.18118992828116
3,sim3_small_100_equal,small,100,equal,25.860276961336574
3,sim3_small_100_market_cap,small,100,market_cap,6.441390753229847
3,sim3_small_100_risk_parity,small,100,risk_parity,52.29183593241559
3,sim3_mid_10_equal,mid,10,equal,17.230661288888932
3,sim3_mid_10_market_cap,mid,10,market_cap,61.470659286569365
3,sim3_mid_10_risk_parity,mid,10,risk_parity,17.55159141505928
3,sim3_mid_50_equal,mid,50,equal,34.91853889319741
3,sim3_mid_50_market_cap,mid,50,market_cap,20.183599527660427
3,sim3_mid_50_risk_parity,mid,50,risk_parity,24.45307491182625
3,sim3_mid_100_equal,mid,100,equal,16.202376299012904
3,sim3_mid_100_market_cap,mid,100,market_cap,17.80593363704922
3,sim3_mid_100_risk_parity,mid,100,risk_parity,18.20541956134556
3,sim3_large_10_equal,large,10,equal,79.74758053172906
3,sim3_large_10_market_cap,large,10,market_cap,51.50627423166263
3,sim3_large_10_risk_parity,large,10,risk_parity,70.04575767347986
3,sim3_large_50_equal,large,50,equal,57.606356201301594
3,sim3_large_50_market_cap,large,50,market_cap,26.82517766754879
3,sim3_large_50_risk_parity,large,50,risk_parity,26.68979615763741
3,sim3_large_100_equal,large,100,equal,32.65376808589909
3,sim3_large_100_market_cap,large,100,market_cap,34.4730378676814
3,sim3_large_100_risk_parity,large,100,risk_parity,42.70247690530019
4,sim4_small_10_equal,small,10,equal,7.911951377854004
4,sim4_small_10_market_cap,small,10,market_cap,18.1450446852824
4,sim4_small_10_risk_parity,small,10,risk_parity,6.635580444364708
4,sim4_small_50_equal,small,50,equal,10.165073483563967
4,sim4_small_50_market_cap,small,50,market_cap,46.16546015414184
4,sim4_small_50_risk_parity,small,50,risk_parity,48.3168894045849
4,sim4_small_100_equal,small,100,equal,59.1300751071541
4,sim4_small_100_market_cap,small,100,market_cap,9.681920491012713
4,sim4_small_100_risk_parity,small,100,risk_parity,80.85688062951164
4,sim4_mid_10_equal,mid,10,equal,23.26555625213278
4,sim4_mid_10_market_cap,mid,10,market_cap,39.155557598351855
4,sim4_mid_10_risk_parity,mid,10,risk_parity,10.900812360607729
4,sim4_mid_50_equal,mid,50,equal,20.60859763660293
4,sim4_mid_50_market_cap,mid,50,market_cap,26.79361960899258
4,sim4_mid_50_risk_parity,mid,50,risk_parity,18.95401399095382
4,sim4_mid_100_equal,mid,100,equal,19.662264661777005
4,sim4_mid_100_market_cap,mid,100,market_cap,11.9989503907558
4,sim4_mid_100_risk_parity,mid,100,risk_parity,26.430634837567574
4,sim4_large_10_equal,large,10,equal,21.787128316419302
4,sim4_large_10_market_cap,large,10,market_cap,3.392000154324258
4,sim4_large_10_risk_parity,large,10,risk_parity,31.94650883706555
4,sim4_large_50_equal,large,50,equal,37.003074123441166
4,sim4_large_50_market_cap,large,50,market_cap,36.989994712345364
4,sim4_large_50_risk_parity,large,50,risk_parity,54.49627701371219
4,sim4_large_100_equal,large,100,equal,50.652693191258486
4,sim4_large_100_market_cap,large,100,market_cap,30.785667282091737
4,sim4_large_100_risk_parity,large,100,risk_parity,29.986668843321088
5,sim5_small_10_equal,small,10,equal,1.8832665049547725
5,sim5_small_10_market_cap,small,10,market_cap,26.388353285135807
5,sim5_small_10_risk_parity,small,10,risk_parity,8.166462337288156
5,sim5_small_50_equal,small,50,equal,6.349346449758369
5,sim5_small_50_market_cap,small,50,market_cap,21.37892816355712
5,sim5_small_50_risk_parity,small,50,risk_parity,25.53823791077387
5,sim5_small_100_equal,small,100,equal,44.51292896542171
5,sim5_small_100_market_cap,small,100,market_cap,10.496497453865972
5,sim5_small_100_risk_parity,small,100,risk_parity,29.036831539819723
5,sim5_mid_10_equal,mid,10,equal,17.687671687546654
5,sim5_mid_10_market_cap,mid,10,market_cap,89.00216593741646
5,sim5_mid_10_risk_parity,mid,10,risk_parity,32.64726406298083
5,sim5_mid_50_equal,mid,50,equal,25.963352307667396
5,sim5_mid_50_market_cap,mid,50,market_cap,15.533261969478968
5,sim5_mid_50_risk_parity,mid,50,risk_parity,16.341387378381498
5,sim5_mid_100_equal,mid,100,equal,23.736184421012236
5,sim5_mid_100_market_cap,mid,100,market_cap,16.81485861477457
5,sim5_mid_100_risk_parity,mid,100,risk_parity,25.9076397032429
5,sim5_large_10_equal,large,10,equal,16.053504232568446
5,sim5_large_10_market_cap,large,10,market_cap,5.698289138327543
5,sim5_large_10_risk_parity,large,10,risk_parity,33.10665564503713
5,sim5_large_50_equal,large,50,equal,25.235295038629076
5,sim5_large_50_market_cap,large,50,market_cap,25.61820201942097
5,sim5_large_50_risk_parity,large,50,risk_parity,30.262419190280628
5,sim5_large_100_equal,large,100,equal,26.827381316683926
5,sim5_large_100_market_cap,large,100,market_cap,27.321868212439167
5,sim5_large_100_risk_parity,large,100,risk_parity,41.91220026741193
6,sim6_small_10_equal,small,10,equal,1.139953970365505
6,sim6_small_10_market_cap,small,10,market_cap,1.7931318218896528
6,sim6_small_10_risk_parity,small,10,risk_parity,4.068886495920694
6,sim6_small_50_equal,small,50,equal,20.12274249700153
6,sim6_small_50_market_cap,small,50,market_cap,12.439772132528898
6,sim6_small_50_risk_parity,small,50,risk_parity,30.01361625359391
6,sim6_small_100_equal,small,100,equal,88.96325125179678
6,sim6_small_100_market_cap,small,100,market_cap,17.130450110856838
6,sim6_small_100_risk_parity,small,100,risk_parity,110.37374477519408
6,sim6_mid_10_equal,mid,10,equal,40.21661673522021
6,sim6_mid_10_market_cap,mid,10,market_cap,14.750194333154397
6,sim6_mid_10_risk_parity,mid,10,risk_parity,5.511211930190906
6,sim6_mid_50_equal,mid,50,equal,27.916459703815747
6,sim6_mid_50_market_cap,mid,50,market_cap,25.770687846196434
6,sim6_mid_50_risk_parity,mid,50,risk_parity,18.075126524070793
6,sim6_mid_100_equal,mid,100,equal,13.480629900552792
6,sim6_mid_100_market_cap,mid,100,market_cap,22.286065186495225
6,sim6_mid_100_risk_parity,mid,100,risk_parity,21.59212697751575
6,sim6_large_10_equal,large,10,equal,11.799750849193464
6,sim6_large_10_market_cap,large,10,market_cap,139.20872658585986
6,sim6_large_10_risk_parity,large,10,risk_parity,105.61348749961279
6,sim6_large_50_equal,large,50,equal,30.870548703590718
6,sim6_large_50_market_cap,large,50,market_cap,43.017743298540324
6,sim6_large_50_risk_parity,large,50,risk_parity,65.41882935987543
6,sim6_large_100_equal,large,100,equal,30.03752908463914
6,sim6_large_100_market_cap,large,100,market_cap,32.13736171446829
6,sim6_large_100_risk_parity,large,100,risk_parity,39.36393324044097
7,sim7_small_10_equal,small,10,equal,1.6769140930970003
7,sim7_small_10_market_cap,small,10,market_cap,19.287883200836696
7,sim7_small_10_risk_parity,small,10,risk_parity,54.5835280023825
7,sim7_small_50_equal,small,50,equal,20.53761687453123
7,sim7_small_50_market_cap,small,50,market_cap,17.938819958770505
7,sim7_small_50_risk_parity,small,50,risk_parity,27.118558858621185
7,sim7_small_100_equal,small,100,equal,17.186793572789032
7,sim7_small_100_market_cap,small,100,market_cap,9.249732138178803
7,sim7_small_100_risk_parity,small,100,risk_parity,21.970705751091586
7,sim7_mid_10_equal,mid,10,equal,3.316776582998167
7,sim7_mid_10_market_cap,mid,10,market_cap,7.291638420654075
7,sim7_mid_10_risk_parity,mid,10,risk_parity,10.695425751241894
7,sim7_mid_50_equal,mid,50,equal,21.78229431317303
7,sim7_mid_50_market_cap,mid,50,market_cap,24.584824362107465
7,sim7_mid_50_risk_parity,mid,50,risk_parity,28.072620069539724
7,sim7_mid_100_equal,mid,100,equal,24.65651444913042
7,sim7_mid_100_market_cap,mid,100,market_cap,26.023637769962892
7,sim7_mid_100_risk_parity,mid,100,risk_parity,16.201251388163673
7,sim7_large_10_equal,large,10,equal,28.99684918983861
7,sim7_large_10_market_cap,large,10,market_cap,41.5232198890913
7,sim7_large_10_risk_parity,large,10,risk_parity,75.70351236669795
7,sim7_large_50_equal,large,50,equal,40.33749641571663
7,sim7_large_50_market_cap,large,50,market_cap,28.21202114645109
7,sim7_large_50_risk_parity,large,50,risk_parity,43.648321703134854
7,sim7_large_100_equal,large,100,equal,26.873416611206213
7,sim7_large_100_market_cap,large,100,market_cap,15.397585611549239
7,sim7_large_100_risk_parity,large,100,risk_parity,37.90249906182464
8,sim8_small_10_equal,small,10,equal,5.710735341394018
8,sim8_small_10_market_cap,small,10,market_cap,91.32756325730335
8,sim8_small_10_risk_parity,small,10,risk_parity,10.64746825483024
8,sim8_small_50_equal,small,50,equal,11.899287816208592
8,sim8_small_50_market_cap,small,50,market_cap,6.983291198320285
8,sim8_small_50_risk_parity,small,50,risk_parity,28.798460218301766
8,sim8_small_100_equal,small,100,equal,13.97230364592301
8,sim8_small_100_market_cap,small,100,market_cap,14.953496996829733
8,sim8_small_100_risk_parity,small,100,risk_parity,37.333667638962986
8,sim8_mid_10_equal,mid,10,equal,45.82672276648245
8,sim8_mid_10_market_cap,mid,10,market_cap,32.18626176346962
8,sim8_mid_10_risk_parity,mid,10,risk_parity,7.466112381599986
8,sim8_mid_50_equal,mid,50,equal,14.554905814364945
8,sim8_mid_50_market_cap,mid,50,market_cap,25.900736327778965
8,sim8_mid_50_risk_parity,mid,50,risk_parity,18.300391522668868
8,sim8_mid_100_equal,mid,100,equal,14.332594761856724
8,sim8_mid_100_market_cap,mid,100,market_cap,9.76611501084994
8,sim8_mid_100_risk_parity,mid,100,risk_parity,20.39871884703748
8,sim8_large_10_equal,large,10,equal,36.27211710778121
8,sim8_large_10_market_cap,large,10,market_cap,36.425732725628855
8,sim8_large_10_risk_parity,large,10,risk_parity,35.29936043974785
8,sim8_large_50_equal,large,50,equal,28.77744003635942
8,sim8_large_50_market_cap,large,50,market_cap,23.353467627732314
8,sim8_large_50_risk_parity,large,50,risk_parity,78.66109563814585
8,sim8_large_100_equal,large,100,equal,28.830542259970503
8,sim8_large_100_market_cap,large,100,market_cap,19.39930735445232
8,sim8_large_100_risk_parity,large,100,risk_parity,46.63647407031581
9,sim9_small_10_equal,small,10,equal,2.1512474816839613
9,sim9_small_10_market_cap,small,10,market_cap,62.97517942598493
9,sim9_small_10_risk_parity,small,10,risk_parity,44.949162553670426
9,sim9_small_50_equal,small,50,equal,28.026935428241103
9,sim9_small_50_market_cap,small,50,market_cap,16.791256942127717
9,sim9_small_50_risk_parity,small,50,risk_parity,9.678021473245677
9,sim9_small_100_equal,small,100,equal,38.71662503736185
9,sim9_small_100_market_cap,small,100,market_cap,10.973994876237114
9,sim9_small_100_risk_parity,small,100,risk_parity,72.90366538414251
9,sim9_mid_10_equal,mid,10,equal,11.652196118117988
9,sim9_mid_10_market_cap,mid,10,market_cap,26.14196470885604
9,sim9_mid_10_risk_parity,mid,10,risk_parity,15.881277033559648
9,sim9_mid_50_equal,mid,50,equal,23.312966135519847
9,sim9_mid_50_market_cap,mid,50,market_cap,13.442326140169897
9,sim9_mid_50_risk_parity,mid,50,risk_parity,31.09080772975107
9,sim9_mid_100_equal,mid,100,equal,13.307266851921767
9,sim9_mid_100_market_cap,mid,100,market_cap,28.248751886460166
9,sim9_mid_100_risk_parity,mid,100,risk_parity,20.01158643450963
9,sim9_large_10_equal,large,10,equal,30.747937345704205
9,sim9_large_10_market_cap,large,10,market_cap,9.956979782687636
9,sim9_large_10_risk_parity,large,10,risk_parity,64.17338702005225
9,sim9_large_50_equal,large,50,equal,42.83856777366652
9,sim9_large_50_market_cap,large,50,market_cap,15.4071374087452
9,sim9_large_50_risk_parity,large,50,risk_parity,47.90451688376493
9,sim9_large_100_equal,large,100,equal,31.52842501428783
9,sim9_large_100_market_cap,large,100,market_cap,21.0547368991778
9,sim9_large_100_risk_parity,large,100,risk_parity,44.07034833065299
10,sim10_small_10_equal,small,10,equal,17.153666933468386
10,sim10_small_10_market_cap,small,10,market_cap,11.64222717193723
10,sim10_small_10_risk_parity,small,10,risk_parity,8.09723320280696
10,sim10_small_50_equal,small,50,equal,20.09995387911625
10,sim10_small_50_market_cap,small,50,market_cap,11.65279965536086
10,sim10_small_50_risk_parity,small,50,risk_parity,15.092269413363082
10,sim10_small_100_equal,small,100,equal,17.43252224492821
10,sim10_small_100_market_cap,small,100,market_cap,11.509428735168573
10,sim10_small_100_risk_parity,small,100,risk_parity,47.91352935725154
10,sim10_mid_10_equal,mid,10,equal,62.685954596173204
10,sim10_mid_10_market_cap,mid,10,market_cap,16.84526374648026
10,sim10_mid_10_risk_parity,mid,10,risk_parity,6.956573185158544
10,sim10_mid_50_equal,mid,50,equal,18.89854575280387
10,sim10_mid_50_market_cap,mid,50,market_cap,24.63213391374761
10,sim10_mid_50_risk_parity,mid,50,risk_parity,24.869223530162863
10,sim10_mid_100_equal,mid,100,equal,14.527554058342638
10,sim10_mid_100_market_cap,mid,100,market_cap,18.63746351976147
10,sim10_mid_100_risk_parity,mid,100,risk_parity,16.01220780024446
10,sim10_large_10_equal,large,10,equal,33.66413761733501
10,sim10_large_10_market_cap,large,10,market_cap,14.254504374635474
10,sim10_large_10_risk_parity,large,10,risk_parity,54.35203778120707
10,sim10_large_50_equal,large,50,equal,30.373873169417532
10,sim10_large_50_market_cap,large,50,market_cap,77.91950201893538
10,sim10_large_50_risk_parity,large,50,risk_parity,52.99214827504726
10,sim10_large_100_equal,large,100,equal,25.742956166312247
10,sim10_large_100_market_cap,large,100,market_cap,13.682315673713255
10,sim10_large_100_risk_parity,large,100,risk_parity,39.31412978710803
