strategy,portfolio_group,cap_segment,portfolio_size,weighting,mean_monthly_return,volatility,skewness,n_obs,final_wealth,total_bankruptcies,total_acquisitions
high_skew,high_skew_large_100_equal,large,100,equal,0.010844806281605217,0.04682958077054725,-0.6453999368621962,360,32.72271582603043,3,133
high_skew,high_skew_large_100_market_cap,large,100,market_cap,0.009425013809054477,0.05265292655219108,-0.6110254985987604,360,17.73276383495807,3,133
high_skew,high_skew_large_100_risk_parity,large,100,risk_parity,0.011060823564433483,0.04630742174780106,-0.6667962408800271,360,35.65007687966633,3,133
high_skew,high_skew_large_10_equal,large,10,equal,0.007176400309620955,0.062290690966047745,-0.05872835767046154,360,6.5519068079349765,0,18
high_skew,high_skew_large_10_market_cap,large,10,market_cap,0.006891663848496021,0.0732217178388573,-0.6319695639561547,360,4.404199729462679,0,18
high_skew,high_skew_large_10_risk_parity,large,10,risk_parity,0.008039058455216611,0.058374916635313814,-0.32667421049114354,360,9.661242644186991,0,18
high_skew,high_skew_large_50_equal,large,50,equal,0.010021417710959577,0.04984416172062946,-0.5676761040563011,360,23.142200848458156,2,85
high_skew,high_skew_large_50_market_cap,large,50,market_cap,0.00909025235348487,0.062127973886807346,-0.3941930817517655,360,12.940944498135865,2,85
high_skew,high_skew_large_50_risk_parity,large,50,risk_parity,0.010477031262793823,0.048265810653583895,-0.5680813478326907,360,28.014639571218478,2,85
high_skew,high_skew_mid_100_equal,mid,100,equal,0.006811671766473089,0.04290767842275399,-0.24408337988841441,360,8.283104406542158,10,143
high_skew,high_skew_mid_100_market_cap,mid,100,market_cap,0.0069559661865702185,0.04400460879670618,-0.36474151972807894,360,8.563313473973784,10,143
high_skew,high_skew_mid_100_risk_parity,mid,100,risk_parity,0.007510540304291541,0.042452600447192367,-0.24542664616555981,360,10.713008271154068,10,143
high_skew,high_skew_mid_10_equal,mid,10,equal,0.0009026117398952048,0.060616529243354283,0.5396192504369806,360,0.7208949249770051,2,15
high_skew,high_skew_mid_10_market_cap,mid,10,market_cap,-0.0017978285226207852,0.059985611034414146,-0.04096967711288902,360,0.2714106872114369,2,15
high_skew,high_skew_mid_10_risk_parity,mid,10,risk_parity,0.007526971766517624,0.0709144431404691,0.5485761869058549,360,6.163554911783407,2,15
high_skew,high_skew_mid_50_equal,mid,50,equal,0.004869143550532107,0.04591460922021072,-0.11903138785789481,360,3.9380367780653502,7,81
high_skew,high_skew_mid_50_market_cap,mid,50,market_cap,0.005074875592443511,0.046740950900587906,-0.3029311264314721,360,4.172367150731043,7,81
high_skew,high_skew_mid_50_risk_parity,mid,50,risk_parity,0.006437914940434502,0.044795711881260414,-0.009056665034231583,360,7.048542436687088,7,81
high_skew,high_skew_small_100_equal,small,100,equal,0.012085047419189747,0.07141053447364454,2.4877597191653327,360,33.31170487158037,68,150
high_skew,high_skew_small_100_market_cap,small,100,market_cap,0.010109109978022748,0.061076955447134,1.7212352195999094,360,20.01471047710505,68,150
high_skew,high_skew_small_100_risk_parity,small,100,risk_parity,0.012768421749743243,0.06946392083206106,2.4924311689777756,360,44.351505077930604,68,150
high_skew,high_skew_small_10_equal,small,10,equal,0.0007335716099204242,0.09179709212508112,0.47142583403266314,360,0.29154000571713856,9,11
high_skew,high_skew_small_10_market_cap,small,10,market_cap,0.0001937250375967894,0.0984068171127002,0.8107817688134373,360,0.19809737973984126,9,11
high_skew,high_skew_small_10_risk_parity,small,10,risk_parity,0.005883243890617197,0.0917977642528759,1.005856944313147,360,1.963952054244731,9,11
high_skew,high_skew_small_50_equal,small,50,equal,0.011124881009621845,0.10862745059873531,5.989947823181017,360,11.2769628962502,33,79
high_skew,high_skew_small_50_market_cap,small,50,market_cap,0.009415177417690752,0.09731591060287853,5.669247407994729,360,7.842030718805488,33,79
high_skew,high_skew_small_50_risk_parity,small,50,risk_parity,0.013797706563125763,0.12681378364209683,8.796147004672127,360,22.79685360766943,33,79
low_skew,low_skew_large_100_equal,large,100,equal,0.012671805552436848,0.04655480240538742,-0.4062535330329457,360,63.216176359353405,0,92
low_skew,low_skew_large_100_market_cap,large,100,market_cap,0.011166834760628769,0.0559425646027074,0.012265195988139934,360,31.326122314724646,0,92
low_skew,low_skew_large_100_risk_parity,large,100,risk_parity,0.012671805552436844,0.046554802405387445,-0.4062535330329437,360,63.2161763593537,0,92
low_skew,low_skew_large_10_equal,large,10,equal,0.014010774745828434,0.052562501665726936,-0.19922006272033327,360,91.85943433871674,0,15
low_skew,low_skew_large_10_market_cap,large,10,market_cap,0.014350327173251966,0.058762578582148374,0.16087923862894984,360,92.29576510998258,0,15
low_skew,low_skew_large_10_risk_parity,large,10,risk_parity,0.01330127150949868,0.05138610607066427,-0.13997776856561484,360,72.99439479837147,0,15
low_skew,low_skew_large_50_equal,large,50,equal,0.013505267226385904,0.04895304530885105,-0.2594716399869689,360,81.77301223650416,0,55
low_skew,low_skew_large_50_market_cap,large,50,market_cap,0.014852925781486219,0.05741521838765477,0.13933060070142186,360,113.44214390347086,0,55
low_skew,low_skew_large_50_risk_parity,large,50,risk_parity,0.013520979150006027,0.04880061991875857,-0.2612354679363392,360,82.44815852990222,0,55
low_skew,low_skew_mid_100_equal,mid,100,equal,0.011157263751323405,0.04050079235527987,-0.3308362242537316,360,40.53640765579307,5,130
low_skew,low_skew_mid_100_market_cap,mid,100,market_cap,0.01100400812414479,0.04138423300492684,-0.28181193781605324,360,37.901287514689216,5,130
low_skew,low_skew_mid_100_risk_parity,mid,100,risk_parity,0.011062373833888473,0.04020308733074407,-0.36064644007582686,360,39.3473151252118,5,130
low_skew,low_skew_mid_10_equal,mid,10,equal,0.013551290565738165,0.057999246370135,0.4463949090332853,360,70.92671458772348,1,13
low_skew,low_skew_mid_10_market_cap,mid,10,market_cap,0.01216323351618648,0.06161501268293233,0.2655006572348592,360,39.91009387514741,1,13
low_skew,low_skew_mid_10_risk_parity,mid,10,risk_parity,0.013302390505415328,0.05273670865086725,0.42100451811798956,360,71.7523704724566,1,13
low_skew,low_skew_mid_50_equal,mid,50,equal,0.01038375036918158,0.04169062374771733,-0.056069605738830845,360,30.283916970902844,4,67
low_skew,low_skew_mid_50_market_cap,mid,50,market_cap,0.010542651821299409,0.04375279434070322,0.022912869474471444,360,31.09388579195583,4,67
low_skew,low_skew_mid_50_risk_parity,mid,50,risk_parity,0.010366967406748718,0.04135989957105042,-0.05250876227196417,360,30.2506507631842,4,67
low_skew,low_skew_small_100_equal,small,100,equal,0.013932649209160826,0.05579977002765328,2.127366612624786,360,87.22421694157318,56,153
low_skew,low_skew_small_100_market_cap,small,100,market_cap,0.011721565887811128,0.049313471474017816,2.23456354538495,360,44.27291650122165,56,153
low_skew,low_skew_small_100_risk_parity,small,100,risk_parity,0.013671887453482516,0.055340886275001895,2.156178528574169,360,80.16770270647697,56,153
low_skew,low_skew_small_10_equal,small,10,equal,0.013093744407752765,0.11696000099238793,4.146639883620545,360,14.362067359448073,5,22
low_skew,low_skew_small_10_market_cap,small,10,market_cap,0.005936451265119921,0.06726948538267544,1.7329279792714323,360,3.9313632337916067,5,22
low_skew,low_skew_small_10_risk_parity,small,10,risk_parity,0.012495827831463028,0.10966068956829365,5.259221710130551,360,16.259514591095986,5,22
low_skew,low_skew_small_50_equal,small,50,equal,0.013048008753225041,0.05859656809740613,1.8229530189414622,360,60.14606056680995,25,79
low_skew,low_skew_small_50_market_cap,small,50,market_cap,0.009960593704327492,0.0427486837569206,-0.06935731775933367,360,25.646226259946765,25,79
low_skew,low_skew_small_50_risk_parity,small,50,risk_parity,0.012874655885737742,0.05845071703581757,1.84223897119179,360,56.71751769376047,25,79
momentum,momentum_large_100_equal,large,100,equal,0.012560153681655428,0.047233937478113434,-0.7302086545188855,360,59.84585081525046,1,158
momentum,momentum_large_100_market_cap,large,100,market_cap,0.013097782849344042,0.05344517533385443,-0.059897680371908915,360,65.41369845632065,1,158
momentum,momentum_large_100_risk_parity,large,100,risk_parity,0.012686838413932968,0.04675233009778097,-0.7522329900739844,360,63.110397097772065,1,158
momentum,momentum_large_10_equal,large,10,equal,0.012516140671428078,0.06977844458441369,-0.02869838804853597,360,37.122596367879765,0,26
momentum,momentum_large_10_market_cap,large,10,market_cap,0.015962010604451675,0.07650743095898074,0.062000693705406645,360,107.22499618081577,0,26
momentum,momentum_large_10_risk_parity,large,10,risk_parity,0.014708921427291516,0.06835195916069642,0.08246701191845836,360,84.48161599239884,0,26
momentum,momentum_large_50_equal,large,50,equal,0.01300025393044845,0.05170159127019871,-0.5198615265839234,360,64.77738409850278,0,90
momentum,momentum_large_50_market_cap,large,50,market_cap,0.014825051103588229,0.056752073838341764,0.22192990969358914,360,114.07632222995407,0,90
momentum,momentum_large_50_risk_parity,large,50,risk_parity,0.013463654061105402,0.0505679014444584,-0.5850360582617508,360,77.945959854781,0,90
momentum,momentum_mid_100_equal,mid,100,equal,0.011731561921613216,0.04298154519131113,-0.19802571107415604,360,48.0056360144039,5,156
momentum,momentum_mid_100_market_cap,mid,100,market_cap,0.011985443579090512,0.04491141486671183,-0.26401260521287756,360,50.95601751038612,5,156
momentum,momentum_mid_100_risk_parity,mid,100,risk_parity,0.012119844636146552,0.04177924982368195,-0.30067253224775226,360,56.09245623584607,5,156
momentum,momentum_mid_10_equal,mid,10,equal,0.012477703345053994,0.07587541943057596,0.3010148288204223,360,31.83310401648852,0,21
momentum,momentum_mid_10_market_cap,mid,10,market_cap,0.012060242594057557,0.08108224205300169,0.1360912265537848,360,23.515431751678662,0,21
momentum,momentum_mid_10_risk_parity,mid,10,risk_parity,0.014878847251210879,0.07256116871955343,0.33533535302255324,360,81.83347955953566,0,21
momentum,momentum_mid_50_equal,mid,50,equal,0.011268013311881493,0.0502774407813272,0.04421045914642158,360,36.16798250013151,2,83
momentum,momentum_mid_50_market_cap,mid,50,market_cap,0.011317694686759479,0.05236384735341847,-0.054165268891839057,360,35.390492064371024,2,83
momentum,momentum_mid_50_risk_parity,mid,50,risk_parity,0.011960382645224815,0.04836353129861517,-0.08266202490073585,360,47.79335271369423,2,83
momentum,momentum_small_100_equal,small,100,equal,0.012663919529822201,0.05486247123712065,0.841099652597707,360,55.20629949775813,26,149
momentum,momentum_small_100_market_cap,small,100,market_cap,0.011527016627826308,0.04450928390452831,0.27140517350728766,360,43.794431387565446,26,149
momentum,momentum_small_100_risk_parity,small,100,risk_parity,0.012472865110757198,0.04603168079322278,0.20419677268606848,360,59.84576865989599,26,149
momentum,momentum_small_10_equal,small,10,equal,0.01782041264044176,0.1246062883641394,2.8117366032085838,360,54.48441974671314,3,17
momentum,momentum_small_10_market_cap,small,10,market_cap,0.013905511538838606,0.09841040183047246,1.0263756639730994,360,28.632562607738357,3,17
momentum,momentum_small_10_risk_parity,small,10,risk_parity,0.01788456499151073,0.1075154504112228,1.5947668653388631,360,91.55225989989628,3,17
momentum,momentum_small_50_equal,small,50,equal,0.013794075447412306,0.06085349825965246,0.5993991620543193,360,73.15772851905464,9,74
momentum,momentum_small_50_market_cap,small,50,market_cap,0.012692302882490012,0.05073485643131837,0.14400281094760325,360,59.739934651705624,9,74
momentum,momentum_small_50_risk_parity,small,50,risk_parity,0.014410065926444319,0.054135194836115286,0.25315359739529614,360,103.60800416996786,9,74
